gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT2G25450	3002.1591999666834	-3.53802791117303	0.14609272380835617	-24.217687362816235	1.4487686086614517e-129	3.4206875619105536e-125
AT2G04700	895.9351685362952	-2.1892905867193417	0.11376345515933386	-19.244234307520667	1.5777748070767796e-82	1.8626420484944922e-78
AT2G33220	621.4954957113732	-2.9102092092399303	0.1516908407244605	-19.185134681441923	4.9266314983068386e-82	3.877423210217425e-78
AT2G17420	1592.8680836223105	-2.2116829233331172	0.1173145206565683	-18.85259310573919	2.7978550483697615e-79	1.4645350058597747e-75
AT5G45510	2127.45385582633	-2.3148555380149816	0.122822613869305	-18.84714439051272	3.1013828424458406e-79	1.4645350058597747e-75
AT1G02500	3495.872623720443	-1.5959306894791636	0.08549494185051354	-18.666960348012417	9.19386988434875e-78	3.617941030655972e-74
AT3G58865	302.46629012976143	3.6897124533661314	0.20017746038618792	18.43220733367201	7.246514275605939e-76	2.444249265161883e-72
AT2G27880	403.4222298707793	7.624683366204668	0.42625058378901143	17.8877957149703	1.4680171188363954e-71	4.3326690241057665e-68
AT1G29070	1319.7033867616015	-2.534197966118944	0.14446023181991122	-17.54253010806571	6.783865248711296e-69	1.7797093598591378e-65
AT2G05915	745.5899940644031	9.217735010507287	0.5316457072922675	17.338116125218555	2.4255730973936113e-67	5.727020640256055e-64
AT2G43590	475.0582506554789	-2.8461717256629155	0.16799102943449803	-16.9424030273752	2.1899330056709798e-64	4.7005916542634096e-61
AT1G52000	466.7185345778141	3.501993799343832	0.21133214239744996	16.57104196084698	1.1285320074509394e-61	2.2204807689936775e-58
AT5G49880	213.81382860430756	-4.060967760612389	0.2536802786060312	-16.008212317202336	1.1198126603768935e-57	2.0338382095506793e-54
AT2G05914	1144.003877731786	10.510223932287882	0.6569853792396031	15.997652709490199	1.3268409515695527e-57	2.2377172648220506e-54
AT1G53480	240.29065524528266	6.575148544601966	0.41640644084937417	15.79021816086745	3.6332121069070163e-56	5.718918070412104e-53
AT2G25980	557.129641705005	-2.8489382100532326	0.18081991100007722	-15.75566647664159	6.279385708781341e-56	9.266410998127265e-53
AT3G26460	525.7234981314342	2.1875076260365867	0.13999080526416188	15.6260807408656	4.836510144342162e-55	6.717343589297811e-52
AT1G65370	773.9541656824525	2.343292615239002	0.15130285018164105	15.487432076962518	4.2180466201578016e-54	5.532905486030325e-51
AT3G58875	231.10762494482435	3.6001282943215496	0.24235143929582736	14.854990359380688	6.4577227321151e-50	8.024910075156296e-47
AT5G44520	175.84473521722677	-5.438308155046738	0.3695312044824297	-14.716776524092747	5.0307517893088344e-49	5.939054024868544e-46
AT3G14210	742.7778217440821	-2.922944330331427	0.20161390851414338	-14.497731589417503	1.2522009683137547e-47	1.4078912887074314e-44
AT2G46950	149.99193251161842	4.650565524704592	0.3265318505771769	14.242302907003602	5.0050113453882386e-46	5.371514676180078e-43
AT1G09420	439.27707898177107	2.377310834203599	0.1689017144677356	14.075113693755453	5.4017948128640084e-45	5.5452946663709603e-42
AT1G18710	217.21987393055988	7.2611793169132355	0.5171942478369409	14.039559309256884	8.926599130801364e-45	8.781913836556291e-42
AT2G32645	208.78206786647615	-3.3155729686015305	0.23840520513701868	-13.907301087222363	5.71973179878942e-44	5.40194350004868e-41
AT2G42170	382.2678163175979	2.8541408541804985	0.2090657392128517	13.65188224970076	1.9673062997659815e-42	1.7865411170682536e-39
AT3G16460	8223.715454202182	-1.058653027982742	0.07827242168375202	-13.525236669692816	1.1098589188574741e-41	9.705510715979193e-39
AT2G32650	225.40665857784268	-3.5441947777384226	0.26487741071498633	-13.380509754197389	7.860641243190376e-41	6.628485728320284e-38
AT5G47600	137.83017457138325	4.583028002388615	0.34264137603613437	13.375582527153105	8.399306631355619e-41	6.838483754239225e-38
AT1G12230	786.0715042490426	-1.7207929407815081	0.1295629660927513	-13.281518574911521	2.9632310953051717e-40	2.3321616463750135e-37
AT5G43370	150.77452233845358	3.62171544178959	0.27307695571987484	13.262618342299023	3.81344802426514e-40	2.9044942355136845e-37
AT5G44510	198.7798843287689	-3.832537393478285	0.28906200766250884	-13.258530321815662	4.0271065716526364e-40	2.971375414477825e-37
AT5G45500	565.1743663116714	-9.671981146472142	0.7417138118604625	-13.040044545229147	7.241472795765643e-39	5.1811640660855336e-36
AT1G65150	248.25951127775414	2.8155067613269913	0.21689540810105118	12.980942224536408	1.5693796123655275e-38	1.0898418243400726e-35
AT5G47980	275.6947116100771	2.490770865421014	0.19221149876322594	12.958490420436544	2.1034629682572803e-38	1.4189961183863614e-35
AT3G08940	4710.66331684613	-1.7140257711821225	0.13338607274835387	-12.850110479043813	8.588749643748372e-38	5.633026884403967e-35
AT2G28450	350.56981151762795	-2.2252731583174006	0.17640193031111712	-12.614789160145378	1.7502542912848134e-36	1.1168987586898845e-33
AT1G05347	889.2184141420029	-1.742742320578173	0.13846142511439227	-12.586482618811532	2.5059314473327073e-36	1.5570407211308568e-33
